id,firstname,surname,born,bornYear,bornMonth,bornDay,died,diedYear,diedMonth,diedDay,ageDied,ageCurrent,ageCurrentBin,age,ageBin,bornCountry,bornCountryCode,bornCountryClean,bornCountryBin,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,timesPrizeWon,timesPrizeWonOther,overallMotivation,share,prizeShare,motivation,workPublishYear,yearsSincePublishedBin,name,city,country,countryClean,URLpage,URLpicture
1,Wilhelm Conrad,Röntgen,1845-03-27,1845,Mar,27,10/2/1923,1923,Feb,10,78,,Deceased,56,51-60,Prussia (now Germany),DE,Germany,Germany,Lennep (now Remscheid),Germany,DE,Munich,male,1901,physics,1,,,1,1/1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",,Unknown,Munich University,Munich,Germany,Germany,https://www.nobelprize.org/prizes/physics/1901/Rontgen,https://www.nobelprize.org/images/rontgen-13540-portrait-mini-2x.jpg
2,Hendrik A.,Lorentz,1853-07-18,1853,Jul,18,4/2/1928,1928,Feb,4,75,,Deceased,49,41-50,the Netherlands,NL,Netherlands,Other (<20 Laureates),Arnhem,the Netherlands,NL,,male,1902,physics,1,,,2,1/2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",,Unknown,Leiden University,Leiden,the Netherlands,the Netherlands,https://www.nobelprize.org/prizes/physics/1902/Lorentz,https://www.nobelprize.org/images/lorentz-13546-portrait-mini-2x.jpg
3,Pieter,Zeeman,1865-05-25,1865,May,25,9/10/1943,1943,Oct,9,78,,Deceased,37,<=40,the Netherlands,NL,Netherlands,Other (<20 Laureates),Zonnemaire,the Netherlands,NL,Amsterdam,male,1902,physics,1,,,2,1/2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1896,<=10,Amsterdam University,Amsterdam,the Netherlands,the Netherlands,https://www.nobelprize.org/prizes/physics/1902/Zeeman,https://www.nobelprize.org/images/zeeman-13547-portrait-mini-2x.jpg
4,Henri,Becquerel,1852-12-15,1852,Dec,15,25/8/1908,1908,Aug,25,56,,Deceased,51,51-60,France,FR,France,France,Paris,France,FR,,male,1903,physics,1,,,2,1/2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",,Unknown,École Polytechnique,Paris,France,France,https://www.nobelprize.org/prizes/physics/1903/Becquerel,https://www.nobelprize.org/images/becquerel-12834-portrait-mini-2x.jpg
5,Pierre,Curie,1859-05-15,1859,May,15,19/4/1906,1906,Apr,19,47,,Deceased,44,41-50,France,FR,France,France,Paris,France,FR,Paris,male,1903,physics,1,,,4,1/4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,Unknown,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,France,https://www.nobelprize.org/prizes/physics/1903/pierre-curie/facts/,https://www.nobelprize.org/images/pierre-curie-12836-portrait-mini-2x.jpg
6,Marie,Curie,1867-11-07,1867,Nov,7,4/7/1934,1934,Jul,4,67,,Deceased,36,<=40,Russian Empire (now Poland),PL,Poland,Poland,Warsaw,France,FR,Sallanches,female,1903,physics,2,1911 Chemistry,,4,1/4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",,Unknown,Not Available,,,Unknown,https://www.nobelprize.org/prizes/physics/1903/marie-curie/facts/,https://www.nobelprize.org/images/marie-curie-12835-portrait-mini-2x.jpg
6,Marie,Curie,1867-11-07,1867,Nov,7,4/7/1934,1934,Jul,4,67,,Deceased,44,41-50,Russian Empire (now Poland),PL,Poland,Poland,Warsaw,France,FR,Sallanches,female,1911,chemistry,2,1903 Physics,,1,1/1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",,Unknown,Sorbonne University,Paris,France,France,https://www.nobelprize.org/prizes/chemistry/1911/marie-curie/facts/,https://www.nobelprize.org/images/marie-curie-12879-portrait-mini-2x.jpg
8,Lord,Rayleigh,1842-11-12,1842,Nov,12,30/6/1919,1919,Jun,30,77,,Deceased,62,61-70,UK,GB,UK,UK,Langford Grove Maldon Essex,UK,GB,,male,1904,physics,1,,,1,1/1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",,Unknown,Royal Institution of Great Britain,London,UK,UK,https://www.nobelprize.org/prizes/physics/1904/strutt/facts/,https://www.nobelprize.org/images/strutt-12842-portrait-mini-2x.jpg
9,Philipp,Lenard,1862-06-07,1862,Jun,7,20/5/1947,1947,May,20,85,,Deceased,43,41-50,Hungary (now Slovakia),SK,Slovakia,Other (<20 Laureates),Pressburg (now Bratislava),Germany,DE,Messelhausen,male,1905,physics,1,,,1,1/1,"""for his work on cathode rays""",1894,11-20,Kiel University,Kiel,Germany,Germany,https://www.nobelprize.org/prizes/physics/1905/Lenard,https://www.nobelprize.org/images/lenard-12847-portrait-mini-2x.jpg
10,J.J.,Thomson,1856-12-18,1856,Dec,18,30/8/1940,1940,Aug,30,84,,Deceased,50,41-50,UK,GB,UK,UK,Cheetham Hill,UK,GB,Cambridge,male,1906,physics,1,,,1,1/1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1897,<=10,University of Cambridge,Cambridge,UK,UK,https://www.nobelprize.org/prizes/physics/1906/Thomson,https://www.nobelprize.org/images/thomson-12853-portrait-mini-2x.jpg
